Property/Company Code,Property Name,File Name,iType,Order,Doc. Type,Floorplan Code,Active/Inactive,Full Path,Target Property,Target Image Name
p0054389,Ridgecrest Village,Green 1 BR 1 BA 753 sq ft.png,40,2,Unit Image,,Active,https://www.rentcafe.com/dmslivecafe/3/50653/Green 1 BR 1 BA 753 sq ft.png,,ChestnutHillRealtyCorp_Ridgecrest Village_1 Bed/1 Bath with Dining Area_110-4_1.jpg
p0054389,Ridgecrest Village,Green 1 BR 1 BA 753 sq ft(9).png,40,2,Unit Image,,Active,https://www.rentcafe.com/dmslivecafe/3/50653/Green 1 BR 1 BA 753 sq ft(9).png,,ChestnutHillRealtyCorp_Ridgecrest Village_1 Bed/1 Bath with Dining Area_110-5_1.jpg
p0054389,Ridgecrest Village,Green 1 BR 1 BA 753 sq ft(8).png,40,2,Unit Image,,Active,https://www.rentcafe.com/dmslivecafe/3/50653/Green 1 BR 1 BA 753 sq ft(8).png,,ChestnutHillRealtyCorp_Ridgecrest Village_1 Bed/1 Bath with Dining Area_110-6_1.jpg
p0054389,Ridgecrest Village,Green 1 BR 1 BA 753 sq ft(7).png,40,2,Unit Image,,Active,https://www.rentcafe.com/dmslivecafe/3/50653/Green 1 BR 1 BA 753 sq ft(7).png,,ChestnutHillRealtyCorp_Ridgecrest Village_1 Bed/1 Bath with Dining Area_110-7_1.jpg
p0054389,Ridgecrest Village,Green 1 BR 1 BA 753 sq ft(6).png,40,2,Unit Image,,Active,https://www.rentcafe.com/dmslivecafe/3/50653/Green 1 BR 1 BA 753 sq ft(6).png,,ChestnutHillRealtyCorp_Ridgecrest Village_1 Bed/1 Bath with Dining Area_110-8_1.jpg
