 Propery Id, Propery Code, Reference Code, Property Name, LockedForETL
924028,p0926823,140000,TEST Hancock Village BROOKLINE 1A (140000),Locked(-1)
932774,p0935565,230004,TEST Hancock Village I Brookline(230004),Locked(-1)
932775,p0935566,210000,TEST Hancock Village I / Boston East (210000),Locked(-1)
932776,p0935567,200000,TEST Hancock Village II / Boston West (200000),Locked(-1)
932778,p0935569,,TEST PROPLIST HANCOCK VILLIAGE BROOKLINE,Locked(-1)
932837,p0935624,300000,test hancock village new,Locked(-1)
940604,p0943389,201100,TEST DBA - Regency Plaza (201100),Locked(-1)
944523,p0947285,230022,Hancock Village Split Hancock Village I Brookline,Locked(-1)
944524,p0947286,200059,Hancock Village Boston West II,Locked(-1)
1093983,p1069070,944201,Telephone Building,Locked(-1)
1094750,p1069835,,zzTEST - The Chestnut Hill,Locked(-1)
1236696,p1207075,5500,CHR Works,Locked(-1)
1246740,p1217092,230011,ROSB Affordable Units LLC,Locked(-1)
1246741,p1217093,940200,761 - 769 Centre St,Locked(-1)
1260332,p1230673,230010,The Adams at Hancock Village,Locked(-1)
1363912,p1334029,805578,578 Nahatan St,Locked(-1)
1367701,p1337787,940300,52 Davis Ave,Locked(-1)
1395124,p1365103,805048,48 Plymouth Dr,Locked(-1)
1653109,p1621353,805546,546 Nahatan Street,Locked(-1)
1660764,p1628995,940001,15-6 Green Street,Locked(-1)
1695033,p1663167,944310,1697-1699 Cambridge St,Locked(-1)
1695047,p1663181,944311,4 Crawford St,Locked(-1)
1695051,p1663185,944312,93-97 Marion Street,Locked(-1)
1695052,p1663186,944313,15-19 Colliston Road,Locked(-1)
1695054,p1663188,944314,Hampton Court Condo,Locked(-1)
1704127,p1672227,230020,The Franklin at Hancock Village,Locked(-1)
1845119,p1812916,933199,John Street Parking,Locked(-1)
1855078,p1822852,230021,Puddingstone Affordable Units LLC,Locked(-1)
1948186,p1915593,943101,Beach Street,Locked(-1)
1948187,p1915594,943103,517 Judson St,Locked(-1)
1948188,p1915595,943102,Bearskin Neck,Locked(-1)
1948190,p1915597,943104,Wareham St,Locked(-1)
1948204,p1915611,all_pinn,All Pinnacle Properties,Locked(-1)
1961482,p1928888,602104,Condo 104,Locked(-1)
1961484,p1928890,602204,Condo 204,Locked(-1)
1986073,p1953455,103080,zRCTEST Norwest Woods,Locked(-1)
2282849,p2249976,hv_clo,zRCTEST Hancock Village,Locked(-1)
2282850,p2249977,230000,zRCTEST Hancock Village Brookline,Locked(-1)
2282851,p2249978,230020,zRCTEST The Franklin at Hancock Village,Locked(-1)
2349670,p2316810,101005,zRCTEST 1443 Beacon,Locked(-1)
2349671,p2316811,102005,zRCTEST Wendell Terrace Apartments,Locked(-1)
2349672,p2316812,103070,zRCTEST Ridgecrest Terrace,Locked(-1)
2355563,p2322700,210000,zRCTEST Hancock Village Boston East,Locked(-1)
2355565,p2322702,200000,zRCTEST Hancock Village Boston West,Locked(-1)
2355574,p2322711,200059,zRCTEST Hancock Village Boston West II,Locked(-1)
2355575,p2322712,204000,zRCTEST Hancock Estates,Locked(-1)
2356231,p2323368,230010,zRCTEST The Adams at Hancock Village,Locked(-1)
2356233,p2323370,230022,zRCTEST Hancock Village Split Hancock Village I Brookline,Locked(-1)
